,protocol,parameter,condition,ICC,good
150,Smooth_Pursuit_Slow,blinks_duration_HV_s,WR,0.3430528086859863,
151,Smooth_Pursuit_Slow,blinks_duration_HV_s,SD,0.16455797814881562,
152,Smooth_Pursuit_Slow,drifts_count_HV_s,WR,0.8251748251748253,*
153,Smooth_Pursuit_Slow,drifts_count_HV_s,SD,0.728539662270756,*
154,Smooth_Pursuit_Slow,drifts_percentage_HV_%,WR,0.8382577994549678,*
155,Smooth_Pursuit_Slow,drifts_percentage_HV_%,SD,0.7342015327374729,*
156,Smooth_Pursuit_Slow,drifts_frequency_HV_Hz,WR,0.8526660637432413,*
157,Smooth_Pursuit_Slow,drifts_frequency_HV_Hz,SD,0.8557223843494942,*
158,Smooth_Pursuit_Slow,drifts_duration_HV_s,WR,0.6679066196768234,*
159,Smooth_Pursuit_Slow,drifts_duration_HV_s,SD,0.7166103807950176,*
160,Smooth_Pursuit_Slow,saccades_count_HV_s,WR,0.791846025025651,
161,Smooth_Pursuit_Slow,saccades_count_HV_s,SD,0.5267545038988973,
162,Smooth_Pursuit_Slow,saccades_percentage_HV_%,WR,0.8274318722740391,*
163,Smooth_Pursuit_Slow,saccades_percentage_HV_%,SD,0.6530559538268865,*
164,Smooth_Pursuit_Slow,saccades_frequency_HV_Hz,WR,0.8312123083307832,*
165,Smooth_Pursuit_Slow,saccades_frequency_HV_Hz,SD,0.7368586191223885,*
166,Smooth_Pursuit_Slow,saccades_duration_HV_s,WR,0.7900340174436844,
167,Smooth_Pursuit_Slow,saccades_duration_HV_s,SD,0.46734109354302983,
168,Smooth_Pursuit_Slow,pso_count_HV_s,WR,0.8780652290070395,*
169,Smooth_Pursuit_Slow,pso_count_HV_s,SD,0.7876012936516591,*
170,Smooth_Pursuit_Slow,pso_percentage_HV_%,WR,0.7800084439325221,*
171,Smooth_Pursuit_Slow,pso_percentage_HV_%,SD,0.8107359295799589,*
172,Smooth_Pursuit_Slow,saccade+pso_frequency_HV_Hz,WR,0.8802294331601797,*
173,Smooth_Pursuit_Slow,saccade+pso_frequency_HV_Hz,SD,0.8597548632417734,*
174,Smooth_Pursuit_Slow,pso_duration_HV_s,WR,0.7818999064697849,*
175,Smooth_Pursuit_Slow,pso_duration_HV_s,SD,0.7401581226573359,*
176,Smooth_Pursuit_Slow,excluded_percentage_HV_%,WR,0.19104476303166462,
177,Smooth_Pursuit_Slow,excluded_percentage_HV_%,SD,0.4300662455852964,
178,Smooth_Pursuit_Slow,valid_data_percentage_HV_%,WR,0.38760431693144204,
179,Smooth_Pursuit_Slow,valid_data_percentage_HV_%,SD,0.6752432671281969,
180,Antisaccade_vertical_SW,measurement_duration_HV_s,WR,-0.10233826075758973,
181,Antisaccade_vertical_SW,measurement_duration_HV_s,SD,-0.2073443920674226,
182,Antisaccade_vertical_SW,trajectory_length_HV_deg,WR,0.01956901787714209,
183,Antisaccade_vertical_SW,trajectory_length_HV_deg,SD,0.4698990048168284,
184,Antisaccade_vertical_SW,trajectory_length_H_deg,WR,0.5670837628328248,
185,Antisaccade_vertical_SW,trajectory_length_H_deg,SD,0.5124785955564263,
186,Antisaccade_vertical_SW,trajectory_length_V_deg,WR,-0.21880470744008926,
187,Antisaccade_vertical_SW,trajectory_length_V_deg,SD,0.27312303464911025,
188,Antisaccade_vertical_SW,BCEA68_HV_deg^2,WR,0.3142651181575081,
